Using XML location: ../Assets/xml
Loading file Units/CIV4ProfessionInfos.xml
Loading file GameInfo/CIV4CivicInfos.xml
Loading file Units/CIV4ProfessionInfos.xml
Description	Type	Parent	iPower	Tech
Peasant	PROFESSION_COLONIST		0	CIVIC_BEAR_ARMS
Monk	PROFESSION_MISSIONARY		0	MEDIEVAL_TECH_MONASTICISM
Worker	PROFESSION_PIONEER		0	
Huntsman	PROFESSION_HUNTSMAN		50	MANORIALISM
Armed Peasant	PROFESSION_ARMED_PEASANT		75	
Armoured Peasant(leather)	PROFESSION_ARMOURED_PEASANT_LEATHER	PROFESSION_ARMED_PEASANT	100	
Merchant	PROFESSION_MERCHANT		0	TRADING_MARKET
Peddler	PROFESSION_PEDLER		0	
Tax Collector	PROFESSION_TAX_COLLECTOR		0	
TXT_KEY_PROFESSION_SCOUT	PROFESSION_SCOUT		50	
Heavy Knight	PROFESSION_KNIGHT_PLATE		150	FUEDALISM
Knight	PROFESSION_KNIGHT_MAIL		150	FUEDALISM
Heavy Calvary	PROFESSION_HEAVY_CALVARY		150	STIRRUP
Heavy Cavalry(Mail)	PROFESSION_HEAVY_CAVALRY_MAIL	PROFESSION_HEAVY_CALVARY	175	STIRRUP
Horseman	PROFESSION_CALVARY		150	MONARCHY
Horseman(leather)	PROFESSION_CALVARY_LEATHER	PROFESSION_CALVARY	175	MONARCHY
Archer	PROFESSION_MISSLEMAN		100	
Archer(leather)	PROFESSION_ARCHER_LEATHER	PROFESSION_MISSLEMAN	125	
Longbowman	PROFESSION_MISSLEMAN2		100	LONGBOW
Longbowman(leather)	PROFESSION_LONGBOWMAN_LEATHER	PROFESSION_MISSLEMAN2	125	LONGBOW
Skirmisher	PROFESSION_SKIRMISHER1		100	METALCASTING
Skirmisher(Scale)	PROFESSION_SKIRMISHER_SCALE	PROFESSION_SKIRMISHER1	125	METALCASTING
Heavy Skirmisher	PROFESSION_SKIRMISHER2		100	FUEDALISM
Heavy Skirmisher(Scale)	PROFESSION_HEAVY_SKIRMISHER_PLATE	PROFESSION_SKIRMISHER2	125	FUEDALISM
Crossbowman	PROFESSION_SKIRMISHER3		100	CROSSBOW
Crossbowman(Mail)	PROFESSION_CROSSBOWMAN_MAIL	PROFESSION_SKIRMISHER3	125	CROSSBOW
Infantry	PROFESSION_INFANTRY1		100	
Crossbowman(Mail)	PROFESSION_INFANTRY_MAIL	PROFESSION_INFANTRY1	125	
Heavy Infantry	PROFESSION_INFANTRY2		100	MAILARMOR
Heavy Infantry(Mail)	PROFESSION_HEAVY_INFANTRY_MAIL	PROFESSION_INFANTRY2	125	MAILARMOR
Pikeman	PROFESSION_INFANTRY3		100	PLATEARMOR
Pikeman(Plate)	PROFESSION_PIKEMAN_PLATE	PROFESSION_INFANTRY3	125	PLATEARMOR
Warrior	PROFESSION_BRAVE		0	
Bowman	PROFESSION_NATIVE_ARCHER		100	
Heavy Warrior	PROFESSION_ARMED_BRAVE		100	
Mounted Scout	PROFESSION_MOUNTED_BRAVE		50	
Mounted Warrior	PROFESSION_ARMED_MOUNTED_BRAVE		150	
Heavy Mounted Warrior	PROFESSION_HEAVY_MOUNTED_NATIVE		150	
Marauder	PROFESSION_MARAUDER		100	
Raiding Marauder	PROFESSION_MARAUDER_SEA		100	
